lemma,freq
the,50033612
be,32394756
and,24778098
a,24225478
of,23159162
to,16770155
in,15670692
i,14217601
you,12079413
it,11042044
have,10514314
to,9232572
that,8319512
for,8194970
do,8186412
he,6467470
with,6442861
on,6080156
this,5541440
we,5180711
that,5002963
not,4655980
but,4523086
they,4503650
say,4096416
at,4024079
what,3807502
his,3718978
from,3711425
go,3546732
or,3420339
by,3372222
get,3347615
she,3188078
my,3106939
can,3091046
as,2946119
know,2761628
if,2709809
me,2638743
your,2577505
all,2503556
who,2493429
about,2427703
their,2417058
will,2372215
so,2369749
would,2349400
make,2290830
just,2270900
up,2108756
think,2077762
time,2018725
there,1980173
see,1958700
her,1931189
as,1880190
out,1828593
one,1816593
come,1802158
people,1800205
take,1768822
year,1729962
him,1717209
them,1701589
some,1684262
want,1671524
how,1666469
when,1650353
which,1613281
now,1601991
like,1583444
other,1539952
could,1529795
our,1467955
into,1461573
here,1413594
then,1344434
than,1342798
look,1338475
way,1260011
more,1248955
these,1223310
no,1206112
thing,1202004
well,1189096
because,1167024
also,1142799
two,1139973
use,1126042
tell,1119692
good,1111721
first,1101803
man,1091176
day,1068902
find,1051936
give,1048189
more,1037966
new,1017175
one,999446
us,992207
any,981535
those,964458
very,963552
her,959780
need,945498
back,938649
there,932354
should,920908
even,920346
only,905093
many,903833
really,895900
work,854095
life,852257
why,832911
right,830729
down,820294
on,818739
try,795248
let,780929
something,779903
too,771375
call,768117
woman,759817
may,757742
still,757548
through,752325
mean,748840
after,745154
never,744608
no,743203
world,732511
in,726590
feel,722826
yeah,703928
great,696589
last,692989
child,685426
oh,685234
over,679617
ask,676596
when,669530
as,662376
school,660191
state,638012
much,636642
talk,635614
out,634959
keep,626487
leave,622651
put,616952
like,614691
help,606887
big,600364
where,597351
same,592441
all,591610
own,579172
while,579023
start,578246
three,570885
high,567720
every,567233
another,565094
become,561963
most,561354
between,558517
happen,552797
family,544520
over,538724
president,538319
old,537424
yes,537066
house,537037
show,536889
again,530706
student,530196
so,523232
seem,522940
might,521992
part,517693
hear,516483
its,511922
place,508803
problem,504175
where,500755
believe,500511
country,499369
always,492943
week,484834
point,484094
hand,481332
off,479459
play,478740
turn,477668
few,472804
group,470971
such,468655
against,467705
run,465066
guy,464082
about,462995
case,458383
question,457301
work,456169
night,452094
live,450380
game,445149
number,444412
write,439865
bring,439445
without,438567
money,437583
lot,437545
most,435849
book,435387
system,435303
government,434971
next,433864
city,433843
company,432469
story,432184
today,431562
job,430995
move,430324
must,427796
bad,426558
friend,423755
during,423624
begin,421878
love,417532
each,414659
hold,413837
different,413578
american,410698
little,404660
before,402959
ever,402590
